SectorOne,RegisterYear,pct_not_meeting_level1
Construction,2020,6.086956521739129
Construction,2021,8.264462809917351
Construction,2022,9.016393442622949
Construction,2023,8.275862068965523
Construction,2024,9.756097560975608
Construction,2025,8.823529411764708
Financial,2020,6.049822064056942
Financial,2021,3.9525691699604737
Financial,2022,4.918032786885251
Financial,2023,4.729729729729726
Financial,2024,6.538461538461537
Financial,2025,4.016064257028118
Food and beverages,2020,9.016393442622949
Food and beverages,2021,8.943089430894313
Food and beverages,2022,5.691056910569103
Food and beverages,2023,8.730158730158733
Food and beverages,2024,6.870229007633588
Food and beverages,2025,7.207207207207212
Mining,2020,13.265306122448983
Mining,2021,4.878048780487809
Mining,2022,6.422018348623848
Mining,2023,10.434782608695647
Mining,2024,7.692307692307687
Mining,2025,7.0866141732283445
Other,2020,12.213740458015266
Other,2021,7.199999999999996
Other,2022,9.174311926605505
Other,2023,8.910891089108908
Other,2024,13.669064748201443
Other,2025,4.587155963302747
