SectorOne,RegisterYear,WeightedScore
Construction,2020,75.30434782608695
Construction,2021,78.67768595041322
Construction,2022,76.27049180327869
Construction,2023,73.72413793103448
Construction,2024,78.84146341463415
Construction,2025,72.07720588235294
Financial,2020,77.58896797153025
Financial,2021,80.37549407114625
Financial,2022,77.22336065573771
Financial,2023,78.91891891891892
Financial,2024,77.21153846153847
Financial,2025,79.05622489959839
Food and beverages,2020,77.19262295081967
Food and beverages,2021,74.97967479674797
Food and beverages,2022,71.09756097560975
Food and beverages,2023,78.4920634920635
Food and beverages,2024,74.1412213740458
Food and beverages,2025,77.47747747747748
Mining,2020,71.53061224489795
Mining,2021,72.29674796747967
Mining,2022,67.43119266055047
Mining,2023,73.04347826086956
Mining,2024,67.99145299145299
Mining,2025,71.39763779527559
Other,2020,74.46564885496183
Other,2021,75.5
Other,2022,75.04587155963303
Other,2023,77.05445544554455
Other,2024,70.64748201438849
Other,2025,73.5091743119266
