Metric,Achievement_Percentage,Notes
Overall Criteria 6 Achievement,43.91,Average across all companies and sub-headlines
Australian Companies Achievement,53.49,Based on 4484 Australian companies
UK Companies Achievement,50.62,Based on 568 UK companies
Goal Setting,56.58,Level 1: 56.58%
Key Performance Indicators (KPIs),52.90,Level 1: 52.90%
Monitoring and Evaluation Governance,40.18,Level 1: 40.18%
Use of Data,40.42,Level 1: 40.42%
Evidencing Outcomes,41.89,Level 1: 41.89%
Utilizing Findings,49.15,Level 1: 49.15%
Success Stories,40.77,Level 1: 40.77%
Stakeholder Engagement,49.38,Level 1: 49.38%
Continuous Improvement,52.38,Level 1: 52.38%
Providing Case Studies,40.07,Level 2: 40.07%
Proactive Research and Innovation,47.46,Level 2: 47.46%
Ongoing Progress and Future Focus,45.89,Level 2: 45.89%
