Metric,Achievement_Percentage,Notes
Overall Criteria 1 Achievement,62.83,Average across all companies and sub-headlines
Australian Companies Achievement,70.79,"Based on 4,484 Australian companies"
UK Companies Achievement,0.0,Based on 568 UK companies
Organisation & Supply Chain Structure,43.98,"Level 1: 87.97%, Level 2: 0%"
Supply Chain Understanding,43.98,"Level 1: 87.97%, Level 2: 0%"
"Products, Sectors & Services (Mandatory)",87.97,Single mandatory level
Direct & Indirect Suppliers,43.98,"Level 1: 87.97%, Level 2: 0%"
Modern Slavery Risk Governance (Mandatory),87.97,Single mandatory level
Information Gathering (Mandatory),87.97,Single mandatory level
Stakeholder Engagement,43.98,"Level 1: 87.97%, Level 2: 0%"
